Date,Open,High,Low,Close,Volume,SMA_agg,RSI_ratio,CCI,ADX,ADX_dirn,ATR_ratio,BBands_high,BBands_low,Currency,Daily_returns
2021-07-26 07:00:00,3219.74,3219.89,3157.15,3170.7,4.41767691,1.0325306071187519,0.9438609915487217,59.3957026183881,67.85037370786812,1.0,1.248635253380085,1.0113954075821663,1.0453273270966466,ETH/AUD,-0.0119413403468972
2021-07-26 08:00:00,3160.66,3188.0,3160.66,3168.53,18.405586,1.035947424789779,0.9392939921217308,45.24888446342874,67.21793608496348,1.0,1.2255710023342878,1.012039889931171,1.0292062324173126,ETH/AUD,-0.0006843914592991052
2021-07-26 09:00:00,3183.46,3195.97,3174.81,3174.81,0.13785637,1.0380215013527585,0.9459071757298656,47.68218623481759,66.79227273577348,1.0,1.2049165437009446,1.0064551323753443,1.0144880175210431,ETH/AUD,0.0019819916491243816
2021-07-26 10:00:00,3193.25,3210.32,3185.64,3210.32,2.58852255,1.037176726689965,0.9770286057970723,93.52238235542497,66.66640693788985,1.0,1.1985620397439665,0.9961700599958421,1.0184510555659658,ETH/AUD,0.011184921302377138
2021-07-26 11:00:00,3205.31,3207.15,3178.69,3194.95,10.93109146,1.0337468937444354,0.9410075730096612,54.96842699683196,65.9567662110329,1.0,1.1861966684817915,1.0020975067356712,1.0122130978878552,ETH/AUD,-0.004787684716788476
2021-07-26 12:00:00,3185.04,3195.36,3174.49,3195.36,0.81523132,1.0308649828161007,0.941485447472791,20.461110606687686,64.94119846676482,1.0,1.1580698962101468,1.0025156774526287,1.0093508410101721,ETH/AUD,0.00012832751686264743
2021-07-26 13:00:00,3184.17,3184.17,3156.37,3169.81,0.50226024,1.0274088637268128,0.8756022712537316,-99.77491693363034,62.44258729228788,1.0,1.1616631675113749,1.0101077715503513,0.9992905920884094,ETH/AUD,-0.007995969155275229
2021-07-26 14:00:00,3177.5,3182.47,3170.77,3170.77,1.04773289,1.0226918394394557,0.8775417581093876,-71.91847119665785,60.19383723525864,1.0,1.121976128679065,1.0095449677348778,1.000338485763772,ETH/AUD,0.00030285726904777377
2021-07-26 15:00:00,3170.77,3170.77,3170.77,3170.77,0.0,1.0182618402576755,0.8775417581093876,-80.80202141390014,58.16996218393233,1.0,1.06292475348543,1.0091183354958904,1.001087398265157,ETH/AUD,0.0
2021-07-26 16:00:00,3170.77,3170.77,3170.77,3170.77,0.0,1.0132394048433908,0.8775417581093875,-73.90142517814812,56.34847463773864,1.0,1.0069813454072496,1.0072498882748215,1.0016330957168798,ETH/AUD,0.0
2021-07-26 17:00:00,3194.34,3200.24,3194.34,3200.24,0.61390752,1.0099340674683923,0.9422288704430639,100.14038958108834,55.91815348424791,1.0,1.0175981770526987,0.9991717893147718,1.010279940932933,ETH/AUD,0.009294272369172019
